"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
142218,393,0.299,72.249,3.338,0.429,1000
142218,549,0.247,76.644,4.313,0.427,4000
142218,584,0.184,72.472,5.379,0.357,5000
142218,597,0.18,69.942,4.265,0.367,7000
142218,607,0.191,57.457,9.279,0.312,11000
142218,607,0.191,57.457,9.279,0.312,12000
142218,607,0.191,57.457,9.279,0.312,13000
142218,645,0.004,29.673,12.381,0.09,14000
144992,209.5,0.241,109.711,5.109,0.451,1000
144992,327.5,0.266,96.473,4.137,0.456,2000
144992,355,0.205,110,5.815,0.435,3000
144992,361,0.217,105.809,4.2,0.445,5000
144992,363,0.184,95,4.99,0.445,6000
144992,371,0.158,117.635,5.086,0.436,14000
153654,440.5,0.308,78.692,2.289,0.543,1000
153654,565,0.138,93.564,5.851,0.401,4000
153654,597,0.049,93.57,9.806,0.336,5000
153654,608.5,0.198,128.375,3.289,0.542,7000
153654,611,0.128,113.752,6.867,0.333,9000
153654,611,0.128,113.752,6.867,0.333,9500
153654,622,0.208,75.993,10.965,0.297,10000
153654,631,0.136,120.835,5.19,0.32,11000
153654,631,0.136,120.835,5.19,0.32,12000
153654,631,0.136,120.835,5.19,0.32,13000
153654,638,0.249,50.758,7.436,0.368,14000
143720,233,0.194,108.848,4.813,0.407,5000
143720,235.5,0.262,78.809,12.858,0.384,6000
143720,245,0.219,104.637,3.758,0.467,9000
143720,245,0.219,104.637,3.758,0.467,9500
143720,247,0.223,108.31,4.107,0.424,10000
143720,253,0.228,114.996,8.274,0.392,11000
143720,253,0.228,114.996,8.274,0.392,12000
143720,253,0.228,114.996,8.274,0.392,13000
143720,265,0.273,99.496,36.271,0.368,14000
112387,217,0.219,64.989,2.743,0.528,1000
112387,367,0.07,66.466,11.351,0.351,4000
112387,388.5,0.06,77.864,12.853,0.362,5000
112387,394,0.063,84.642,12.147,0.342,7000
112387,404,0.051,76.929,15.104,0.336,9000
112387,404,0.051,76.929,15.104,0.336,9500
112387,407,0.136,62.362,16.401,0.386,10000
112387,411,-0.06,55.06,38.033,0.2,11000
112387,411,-0.06,55.06,38.033,0.2,12000
112387,411,-0.06,55.06,38.033,0.2,13000
112387,443.5,0.038,85.037,10.942,0.363,14000
178604,274,0.229,80.571,7.099,0.516,1000
178604,419,0.203,73.403,6.69,0.392,5000
178604,430.5,0.232,87.172,5.577,0.446,7000
178604,437,0.185,108.133,5.075,0.439,9000
178604,437,0.185,108.133,5.075,0.439,9500
178604,439.5,0.172,112.351,10.03,0.408,10000
178604,441,0.258,81.404,15.397,0.377,11000
178604,441,0.258,81.404,15.397,0.377,12000
178604,441,0.258,81.404,15.397,0.377,13000
178604,497,0.041,99.822,18.885,0.216,14000
111124,324,0.203,105.358,3.506,0.416,1000
111124,478,0.176,108.438,11.404,0.374,4000
111124,509,0.157,120.659,10.846,0.365,5000
111124,513,0.274,52.901,7.822,0.314,6000
111124,525,0.235,57.95,6.436,0.336,9000
111124,525,0.235,57.95,6.436,0.336,9500
111124,532.5,0.164,93.137,13.003,0.368,10000
111124,535,0.156,107.502,6.12,0.393,11000
111124,535,0.156,107.502,6.12,0.393,12000
111124,535,0.156,107.502,6.12,0.393,13000
111124,552,0.128,89.951,21.616,0.201,14000
143347,232,0.255,76.745,5.042,0.496,1000
143347,393,0.188,94.579,8.647,0.432,4000
143347,415.5,0.205,104.928,10.266,0.448,5000
143347,417,0.19,102.168,19.611,0.395,6000
143347,423,0.151,86.319,11.851,0.327,9000
143347,423,0.151,86.319,11.851,0.327,9500
143347,426,0.189,105.599,12.444,0.418,10000
143347,429,0.184,87.984,23.395,0.419,11000
143347,429,0.184,87.984,23.395,0.419,12000
143347,429,0.184,87.984,23.395,0.419,13000
143347,440,0.148,52.814,12.877,0.468,14000
178521,282,0.161,61.099,10.721,0.497,1000
178521,430.5,0.25,99.69,7.768,0.473,5000
178521,442.5,0.267,90.343,5.165,0.608,7000
178521,448.5,0.234,105.416,3.661,0.579,9000
178521,448.5,0.234,105.416,3.661,0.579,9500
178521,451,0.206,117.399,7.699,0.516,10000
178521,454,0.178,66.933,10.744,0.347,11000
178521,454,0.178,66.933,10.744,0.347,12000
178521,454,0.178,66.933,10.744,0.347,13000
178521,506,0.165,19.326,9.589,0.353,14000
178271,417.5,0.313,74.96,1.743,0.461,1000
178271,569.5,0.143,111.89,7.222,0.386,5000
178271,585,0.111,102.125,4.954,0.376,7000
178271,588,0.376,49.731,34.035,0.136,9000
178271,588,0.376,49.731,34.035,0.136,9500
178271,596,0.243,57.25,9.403,0.358,10000
178271,602,0.309,99.269,6.327,0.339,11000
178271,602,0.309,99.269,6.327,0.339,12000
178271,602,0.309,99.269,6.327,0.339,13000
114301,193,0.253,86.379,6.047,0.445,5000
114301,204,0.236,107.604,6.268,0.508,7000
114301,212,0.246,94.465,5.794,0.448,9000
114301,212,0.246,94.465,5.794,0.448,9500
114301,214,0.271,79.29,6.752,0.384,10000
114301,215.5,0.293,87.698,4.398,0.527,11000
114301,220.5,0.268,82.011,7.171,0.424,12000
114301,220.5,0.268,82.011,7.171,0.424,13000
114301,301,0.211,61.571,7.679,0.415,14000
141810,278,0.224,87.633,5.946,0.303,1000
141810,400.5,0.433,98.422,2.611,0.429,5000
141810,419.5,0.438,77.005,1.691,0.475,7000
141810,423.5,0.305,104.808,2.641,0.455,9000
141810,423.5,0.305,104.808,2.641,0.455,9500
141810,429,0.24,114.341,2.822,0.473,10000
141810,435,0.277,98.317,14.593,0.403,11000
141810,435,0.277,98.317,14.593,0.403,12000
141810,435,0.277,98.317,14.593,0.403,13000
141810,493,0.044,76.091,9.11,0.301,14000
154013,241.5,0.241,70.542,8.614,0.467,1000
154013,389,0.188,88.749,11.894,0.433,4000
154013,413.5,0.153,100.786,11.811,0.368,5000
154013,418,0.207,78.712,18.142,0.368,6000
154013,429.5,0.222,66.46,12.723,0.356,9000
154013,429.5,0.222,66.46,12.723,0.356,9500
154013,432.5,0.26,49.295,19.901,0.367,10000
154013,441,0.192,90.073,12.168,0.39,11000
154013,441,0.192,90.073,12.168,0.39,12000
154013,441,0.192,90.073,12.168,0.39,13000
154013,464,0.116,55.281,11.439,0.289,14000
112358,250,0.223,93.123,5.282,0.494,1000
112358,400,0.235,94.64,4.046,0.445,5000
112358,410,0.239,75.735,2.283,0.466,7000
112358,416,0.219,96.95,3.553,0.511,9000
112358,416,0.219,96.95,3.553,0.511,9500
112358,418,0.213,110.328,4.097,0.474,10000
112358,419.5,0.26,88.904,7.572,0.388,11000
112358,421.5,0.201,76.992,8.752,0.415,12000
112358,421.5,0.201,76.992,8.752,0.415,13000
112358,472,0.256,79.884,11.897,0.379,14000
163855,326.5,0.393,97.018,3.568,0.477,1000
163855,468,0.244,95.824,3.506,0.441,5000
163855,486,0.214,86.482,3.008,0.481,7000
163855,491,0.159,80.238,5.662,0.421,9000
163855,491,0.159,80.238,5.662,0.421,9500
163855,496,0.18,91.657,4.424,0.427,10000
163855,498.5,0.151,93.093,8.571,0.331,14000
163925,374,0.853,66.749,2.951,0.521,1000
163925,523,0.267,71.88,5.212,0.37,4000
163925,560,0.46,70.806,3.728,0.386,5000
163925,573.5,0.686,55.963,2.505,0.673,7000
163925,580,0.575,61.138,2.883,0.413,9000
163925,580,0.575,61.138,2.883,0.413,9500
163925,586,0.451,81.576,4.813,0.405,10000
163925,591,0.208,68.311,11.555,0.3,11000
163925,591,0.208,68.311,11.555,0.3,12000
163925,591,0.208,68.311,11.555,0.3,13000
163925,628.5,0.031,29.448,9.506,0.16,14000
164610,290.5,0.433,101.455,10.633,0.491,1000
164610,436,0.238,74.231,6.59,0.442,5000
164610,443.5,0.254,78.192,3.582,0.473,7000
164610,451.5,0.185,96.488,3.679,0.495,9000
164610,451.5,0.185,96.488,3.679,0.495,9500
164610,453.5,0.233,92.966,4.221,0.424,10000
164610,456,0.261,80.422,7.231,0.429,11000
164610,456,0.261,80.422,7.231,0.429,12000
164610,456,0.261,80.422,7.231,0.429,13000
164610,505,0.153,95.979,10.021,0.324,14000
153567,365,0.625,71.606,2.366,0.485,1000
153567,519,0.291,61.042,8.397,0.423,4000
153567,551,0.292,63.082,5.444,0.419,5000
153567,565,0.138,61.005,6.55,0.266,7000
153567,571,0.367,71.203,4.985,0.475,9000
153567,571,0.367,71.203,4.985,0.475,9500
153567,576,0.434,64.409,10.55,0.462,10000
153567,585,0.108,28.521,9.468,0.217,14000
163923,371.5,0.343,66.138,2.766,1.085,1000
163923,526,0.171,71.162,5.296,0.982,4000
163923,560.5,0.496,61.506,4.144,0.499,5000
163923,574,0.43,59.556,2.063,0.5,7000
163923,580,0.507,66.969,3.371,0.577,9000
163923,580,0.507,66.969,3.371,0.577,9500
163923,585.5,0.289,82.347,5.127,0.504,10000
163923,596,0.335,53.327,5.847,0.392,11000
163923,596,0.335,53.327,5.847,0.392,12000
163923,596,0.335,53.327,5.847,0.392,13000
163923,615,0.096,38.32,6.826,0.167,14000
109933,338,0.193,79.785,10.053,0.428,1000
109933,488.5,0.254,63.323,4.686,0.436,5000
109933,503,0.238,83.878,5.495,0.545,7000
109933,507,0.199,84.484,6.364,0.483,9000
109933,507,0.199,84.484,6.364,0.483,9500
109933,511,0.141,91.28,6.97,0.432,10000
109933,519,0.165,106.736,17.965,0.443,11000
109933,519,0.165,106.736,17.965,0.443,12000
109933,519,0.165,106.736,17.965,0.443,13000
109933,563,0.302,61.332,5.01,0.395,14000
153893,361,0.315,76.429,6.868,0.392,1000
153893,512,0.179,90.83,9.739,0.333,4000
153893,542.5,0.128,88.105,8.486,0.346,5000
153893,546,0.229,51.559,11.048,0.32,6000
153893,556,0.294,26.823,5.771,0.302,9000
153893,556,0.294,26.823,5.771,0.302,9500
153893,562,0.259,41.574,5.075,0.297,10000
153893,568,0.164,86.847,8.39,0.32,11000
153893,568,0.164,86.847,8.39,0.32,12000
153893,568,0.164,86.847,8.39,0.32,13000
153893,598.5,0.056,48.655,2.941,0.135,14000
142536,204,0.224,99.234,3.89,0.496,1000
142536,337,0.275,82.687,5.359,0.501,5000
142536,349,0.268,85.755,2.729,0.497,7000
142536,353,0.246,101.088,3.75,0.484,9000
142536,353,0.246,101.088,3.75,0.484,9500
142536,356,0.225,91.427,3.793,0.461,10000
142536,362.5,0.261,82.125,3.277,0.427,11000
142536,362.5,0.261,82.125,3.277,0.427,12000
142536,362.5,0.261,82.125,3.277,0.427,13000
142536,462,0.231,24.179,10.575,0.335,14000
153741,258,0.198,102.706,8.454,0.437,1000
153741,412,0.175,110.653,7.659,0.441,5000
153741,425,0.172,110.524,6.707,0.49,7000
153741,432,0.138,116.124,4.778,0.423,9000
153741,432,0.138,116.124,4.778,0.423,9500
153741,436,0.114,118.171,10.084,0.373,10000
153741,436,0.114,118.171,10.084,0.373,14000
111658,156,0.194,73.967,4.517,0.444,1000
111658,284.5,0.259,96.678,3.21,0.59,5000
111658,297,0.239,77.757,2.724,0.582,7000
111658,303.5,0.226,83.65,3.914,0.498,9000
111658,303.5,0.226,83.65,3.914,0.498,9500
111658,305,0.199,88.695,4.387,0.486,10000
111658,309.5,0.221,81.374,3.1,0.449,11000
111658,309.5,0.221,81.374,3.1,0.449,12000
111658,309.5,0.221,81.374,3.1,0.449,13000
111658,395.5,0.175,40.087,2.87,0.443,14000
170644,302,0.278,109.004,7.866,0.39,1000
170644,449,0.263,83.103,4.1,0.37,5000
170644,464.5,0.249,95.029,2.107,0.44,7000
