header,real:3
1000,-114.620656,55.288691
4000,-114.620656,55.288691
5000,-114.620656,55.288691
7000,-114.620656,55.288691
11000,-114.620656,55.288691
12000,-114.620656,55.288691
13000,-114.620656,55.288691
14000,-114.620656,55.288691
1000,-112.935009,57.208172
2000,-112.935009,57.208172
3000,-112.935009,57.208172
5000,-112.935009,57.208172
6000,-112.935009,57.208172
14000,-112.935009,57.208172
1000,-113.502398,55.462816
4000,-113.502398,55.462816
5000,-113.502398,55.462816
7000,-113.502398,55.462816
9000,-113.502398,55.462816
9500,-113.502398,55.462816
10000,-113.502398,55.462816
11000,-113.502398,55.462816
12000,-113.502398,55.462816
13000,-113.502398,55.462816
14000,-113.502398,55.462816
5000,-112.326844,56.335468
6000,-112.326844,56.335468
9000,-112.326844,56.335468
9500,-112.326844,56.335468
10000,-112.326844,56.335468
11000,-112.326844,56.335468
12000,-112.326844,56.335468
13000,-112.326844,56.335468
14000,-112.326844,56.335468
1000,-113.245543,55.913433
4000,-113.245543,55.913433
5000,-113.245543,55.913433
7000,-113.245543,55.913433
9000,-113.245543,55.913433
9500,-113.245543,55.913433
10000,-113.245543,55.913433
11000,-113.245543,55.913433
12000,-113.245543,55.913433
13000,-113.245543,55.913433
14000,-113.245543,55.913433
1000,-111.966537,55.913487
5000,-111.966537,55.913487
7000,-111.966537,55.913487
9000,-111.966537,55.913487
9500,-111.966537,55.913487
10000,-111.966537,55.913487
11000,-111.966537,55.913487
12000,-111.966537,55.913487
13000,-111.966537,55.913487
14000,-111.966537,55.913487
1000,-113.942337,55.739167
4000,-113.942337,55.739167
5000,-113.942337,55.739167
6000,-113.942337,55.739167
9000,-113.942337,55.739167
9500,-113.942337,55.739167
10000,-113.942337,55.739167
11000,-113.942337,55.739167
12000,-113.942337,55.739167
13000,-113.942337,55.739167
14000,-113.942337,55.739167
1000,-113.480468,56.087934
4000,-113.480468,56.087934
5000,-113.480468,56.087934
6000,-113.480468,56.087934
9000,-113.480468,56.087934
9500,-113.480468,56.087934
10000,-113.480468,56.087934
11000,-113.480468,56.087934
12000,-113.480468,56.087934
13000,-113.480468,56.087934
14000,-113.480468,56.087934
1000,-112.044856,55.826208
5000,-112.044856,55.826208
7000,-112.044856,55.826208
9000,-112.044856,55.826208
9500,-112.044856,55.826208
10000,-112.044856,55.826208
11000,-112.044856,55.826208
12000,-112.044856,55.826208
13000,-112.044856,55.826208
14000,-112.044856,55.826208
1000,-113.580044,55.506278
5000,-113.580044,55.506278
7000,-113.580044,55.506278
9000,-113.580044,55.506278
9500,-113.580044,55.506278
10000,-113.580044,55.506278
11000,-113.580044,55.506278
12000,-113.580044,55.506278
13000,-113.580044,55.506278
