SitID,lng,lat,n1,n2,n3,n4,n5,n6,n7,n8,num_row
102496,-110.12932,54.785907,2,47,49,4,1,50,3,48,1
102497,-110.269446,54.782284,3,4,9,7,2,48,53,49,2
102498,-110.186851,54.785892,0,4,1,49,3,47,48,50,3
102500,-110.269422,54.829624,48,4,1,9,53,7,51,49,4
102501,-110.224832,54.840471,3,49,48,2,1,50,51,9,5
102503,-110.402983,54.771449,6,8,7,12,52,10,9,54,6
102505,-110.422131,54.785901,5,8,12,52,10,7,54,56,7
102507,-110.345762,54.800533,9,8,5,6,1,3,53,52,8
102514,-110.396621,54.829633,52,6,54,5,7,9,12,55,9
102517,-110.320301,54.840441,53,7,3,48,8,1,54,51,10
102518,-110.498414,54.771451,12,6,13,56,5,11,57,8,11
102565,-110.599928,54.785896,16,13,61,14,57,10,15,17,12
102577,-110.479147,54.814989,10,56,6,13,52,8,5,57,13
102581,-110.549109,54.840482,57,56,12,11,16,59,61,10,14
102583,-110.688675,54.77509,15,17,16,18,11,60,61,62,15
102589,-110.707896,54.796954,14,17,18,60,16,62,64,1665,16
102592,-110.625318,54.826012,61,11,13,17,14,57,15,63,17
102596,-110.701599,54.844116,60,62,15,14,64,16,61,63,18
102597,-110.77791,54.775087,1665,15,64,14,17,60,19,20,19
102606,-110.885862,54.796947,20,22,23,1665,65,66,18,64,20
102609,-110.879581,54.822471,19,23,22,1665,65,66,67,64,21
102610,-111.038407,54.771468,24,26,1670,25,22,23,27,1671,22
102611,-110.936727,54.796937,23,19,20,24,21,66,1672,1670,23
102614,-110.936727,54.82246,22,19,20,66,24,1672,1670,21,24
102615,-111.025865,54.826041,1670,21,26,1671,23,1673,22,1672,25
102619,-111.13386,54.771478,26,27,1666,21,1674,24,1670,1671,26
102620,-111.089256,54.796927,25,21,27,24,1670,1671,1666,1676,27
102626,-111.133864,54.840503,1666,1674,26,1675,25,1676,1671,1670,28
102630,-111.674106,54.764109,30,1667,1668,1866,1801,29,72,1802,29
102633,-111.78861,54.767676,1668,1667,30,32,34,31,28,76,30
102640,-111.699581,54.796863,1667,1668,28,1801,29,1866,1802,72,31
102656,-111.902778,54.771211,32,33,79,34,80,29,76,81,32
102661,-111.883638,54.778455,31,33,34,79,29,80,76,81,33
102666,-111.896572,54.843896,79,34,80,32,81,31,76,82,34
102671,-111.852009,54.843897,80,76,33,79,32,81,78,31,35
102672,-112.055371,54.767516,37,36,38,39,83,31,84,40,36
102679,-112.112394,54.785519,38,37,35,39,40,83,85,1669,37
102681,-112.055334,54.785555,35,36,38,39,83,84,85,31,38
102684,-112.137831,54.803748,36,39,40,37,35,83,1669,41,39
102686,-112.169807,54.767425,38,36,40,1669,35,37,41,43,40
