SitID,n1,n2,n3,n4,n5,n6,n7,n8
102496,2,47,49,4,1,50,3,48
102497,3,4,9,7,2,48,53,49
102498,0,4,1,49,3,47,48,50
102500,48,4,1,9,53,7,51,49
102501,3,49,48,2,1,50,51,9
102503,6,8,7,12,52,10,9,54
102505,5,8,12,52,10,7,54,56
102507,9,8,5,6,1,3,53,52
102514,52,6,54,5,7,9,12,55
102517,53,7,3,48,8,1,54,51
102518,12,6,13,56,5,11,57,8
102565,16,13,61,14,57,10,15,17
102577,10,56,6,13,52,8,5,57
102581,57,56,12,11,16,59,61,10
102583,15,17,16,18,11,60,61,62
102589,14,17,18,60,16,62,64,1665
102592,61,11,13,17,14,57,15,63
102596,60,62,15,14,64,16,61,63
102597,1665,15,64,14,17,60,19,20
102606,20,22,23,1665,65,66,18,64
102609,19,23,22,1665,65,66,67,64
102610,24,26,1670,25,22,23,27,1671
102611,23,19,20,24,21,66,1672,1670
102614,22,19,20,66,24,1672,1670,21
102615,1670,21,26,1671,23,1673,22,1672
102619,26,27,1666,21,1674,24,1670,1671
102620,25,21,27,24,1670,1671,1666,1676
102626,1666,1674,26,1675,25,1676,1671,1670
102630,30,1667,1668,1866,1801,29,72,1802
102633,1668,1667,30,32,34,31,28,76
102640,1667,1668,28,1801,29,1866,1802,72
102656,32,33,79,34,80,29,76,81
102661,31,33,34,79,29,80,76,81
102666,79,34,80,32,81,31,76,82
102671,80,76,33,79,32,81,78,31
102672,37,36,38,39,83,31,84,40
102679,38,37,35,39,40,83,85,1669
102681,35,36,38,39,83,84,85,31
102684,36,39,40,37,35,83,1669,41
102686,38,36,40,1669,35,37,41,43
102698,39,38,41,1669,36,43,87,86
102702,87,43,1669,40,86,120,116,39
102710,44,43,87,1669,41,88,89,121
102714,1669,41,87,40,42,39,86,120
102754,42,88,89,90,45,43,87,91
102785,91,46,92,88,89,93,90,94
102802,91,92,45,94,93,127,89,88
103698,49,50,0,4,2,48,3,51
103699,3,51,4,53,9,50,49,1803
103700,50,4,47,48,2,3,51,0
103703,49,51,4,48,47,3,1803,2
103704,48,1803,53,50,3,9,4,49
103707,54,8,55,6,12,5,56,7
103710,9,48,51,54,1803,55,3,7
103711,52,55,8,53,9,7,6,58
103713,54,52,53,8,1804,58,1803,9
103715,13,12,57,58,10,52,59,1678
103717,13,59,56,61,1678,58,16,1679
103723,56,1678,57,59,13,52,55,12
103724,1678,1679,57,61,63,1680,13,58
103729,62,17,64,15,1682,63,1665,61
103730,16,63,59,57,1679,17,13,62
103732,60,17,1682,63,64,61,15,1683
103734,1679,1683,1682,61,62,59,1684,1680
103738,1665,60,65,17,67,62,18,15
103742,67,64,1665,20,1686,66,1687,60
103744,1672,67,23,65,20,19,22,1805
