nn1, nn2, nn3, nn4, nn5, nn6
2,47,49,4,1,50,3
3,4,9,7,2,48,53
0,4,1,49,3,47,48
48,4,1,9,53,7,51
3,49,48,2,1,50,51
6,8,7,12,52,10,9
5,8,12,52,10,7,54
9,8,5,6,1,3,53
52,6,54,5,7,9,12
53,7,3,48,8,1,54
12,6,13,56,5,11,57
16,13,61,14,57,10,15
10,56,6,13,52,8,5
57,56,12,11,16,59,61
15,17,16,18,11,60,61
14,17,18,60,16,62,64
61,11,13,17,14,57,15
60,62,15,14,64,16,61
1664,15,64,14,17,60,19
20,22,23,1664,65,66,18
19,23,22,1664,65,66,67
24,26,1669,25,22,23,27
23,19,20,24,21,66,1671
22,19,20,66,24,1671,1669
1669,21,26,1670,23,1672,22
26,27,1665,21,1673,24,1669
25,21,27,24,1669,1670,1665
1665,1673,26,1674,25,1675,1670
30,1666,1667,1865,1800,29,72
1667,1666,30,32,34,31,28
1666,1667,28,1800,29,1865,1801
32,33,79,34,80,29,76
31,33,34,79,29,80,76
79,34,80,32,81,31,76
80,76,33,79,32,81,78
37,36,38,39,83,31,84
38,37,35,39,40,83,85
35,36,38,39,83,84,85
36,39,40,37,35,83,1668
38,36,40,1668,35,37,41
39,38,41,1668,36,43,87
87,43,1668,40,86,120,116
44,43,87,1668,41,88,89
1668,41,87,40,42,39,86
42,88,89,90,45,43,87
91,46,92,88,89,93,90
91,92,45,94,93,127,89
49,50,0,4,2,48,3
3,51,4,53,9,50,49
50,4,47,48,2,3,51
49,51,4,48,47,3,1802
48,1802,53,50,3,9,4
54,8,55,6,12,5,56
9,48,51,54,1802,55,3
52,55,8,53,9,7,6
54,52,53,8,1803,58,1802
13,12,57,58,10,52,59
13,59,56,61,1677,58,16
56,1677,57,59,13,52,55
1677,1678,57,61,63,1679,13
62,17,64,15,1681,63,1664
16,63,59,57,1678,17,13
60,17,1681,63,64,61,15
1678,1682,1681,61,62,59,1683
1664,60,65,17,67,62,18
67,64,1664,20,1685,66,1686
1671,67,23,65,20,19,22
65,1685,1686,64,66,20,1664
71,95,69,98,96,1863,1689
96,95,68,97,71,1676,98
1864,1863,99,101,1690,71,74
95,98,68,100,99,1689,69
1800,1865,73,74,75,1801,102
74,72,102,1800,1865,75,103
